Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

09:05:55 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:06:55 AM     all     21.97      0.00      7.52      0.23      0.00     70.29
09:07:55 AM     all     12.86      0.00      5.92      0.00      0.00     81.21
09:08:55 AM     all      8.12      0.00      5.71      0.00      0.00     86.17
09:09:55 AM     all      6.11      0.00      1.68      0.00      0.00     92.20
09:10:55 AM     all      5.78      0.00      1.02      0.00      0.00     93.20
09:11:55 AM     all     16.51      0.00      0.87      0.00      0.00     82.62
09:12:55 AM     all     16.90      0.00      1.48      0.00      0.00     81.62
09:13:55 AM     all      8.06      0.00      0.99      0.00      0.00     90.94
09:14:55 AM     all      6.08      0.00      0.28      0.00      0.00     93.64
09:15:55 AM     all      4.88      0.00      0.96      0.00      0.00     94.16
09:16:55 AM     all      5.61      0.00      0.71      0.00      0.00     93.68
09:17:55 AM     all     12.22      0.00      2.08      0.00      0.00     85.71
09:18:55 AM     all     21.83      0.00      1.47      0.00      0.00     76.70
09:19:55 AM     all      7.52      0.00      0.61      0.00      0.00     91.87
09:20:55 AM     all      6.18      0.00      0.14      0.00      0.00     93.67
