# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416298015;sda;101.79;0.13;24366.62;239.38;4.24;41.61;0.30;3.10
axle;60;1416298075;sda;3.85;0.00;619.83;160.94;0.02;3.90;0.19;0.07
axle;60;1416298135;sda;5.71;0.00;1002.85;175.72;0.04;7.47;0.23;0.13
axle;60;1416298195;sda;2.39;0.00;353.52;147.64;0.01;3.36;0.14;0.03
axle;60;1416298255;sda;0.70;0.00;38.65;55.05;0.00;0.00;0.00;0.00
axle;60;1416298315;sda;1.19;0.00;130.37;109.75;0.00;0.00;0.00;0.00
axle;59;1416298375;sda;1.35;0.00;157.66;117.10;0.00;0.10;0.05;0.01
axle;60;1416298435;sda;0.82;0.00;63.90;78.04;0.00;0.08;0.08;0.01
axle;60;1416298495;sda;1.00;0.00;70.95;70.93;0.00;0.07;0.07;0.01
axle;60;1416298555;sda;0.85;0.27;42.82;50.67;0.00;0.08;0.08;0.01
axle;60;1416298615;sda;0.90;0.00;57.32;63.70;0.00;0.07;0.07;0.01
axle;60;1416298675;sda;0.97;0.00;119.07;123.03;0.00;0.34;0.14;0.01
axle;60;1416298735;sda;1.28;0.00;154.24;120.21;0.00;0.57;0.21;0.03
axle;60;1416298795;sda;0.90;0.00;86.01;95.56;0.00;0.00;0.00;0.00
axle;60;1416298855;sda;0.80;0.00;59.83;74.83;0.00;0.17;0.08;0.01
