# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416298015;23928256;240596168;90.95;315424;37256688;207572720;76.06
axle;60;1416298075;21890832;242633592;91.72;315496;39287612;207572288;76.06
axle;60;1416298135;21860456;242663968;91.74;315552;39318412;207562304;76.06
axle;60;1416298195;21896152;242628272;91.72;315600;39324140;207518768;76.04
axle;60;1416298255;21894104;242630320;91.72;315620;39325940;207518964;76.04
axle;60;1416298315;20330736;244193688;92.31;315664;39340796;209605104;76.80
axle;59;1416298375;18524812;245999612;93.00;315688;39346628;211089752;77.35
axle;60;1416298435;19504732;245019692;92.63;315728;39348780;209920496;76.92
axle;60;1416298495;19503676;245020748;92.63;315740;39350112;209920496;76.92
axle;60;1416298555;21809368;242715056;91.76;315808;39352136;207634212;76.08
axle;60;1416298615;20028792;244495632;92.43;315828;39353748;209389156;76.72
axle;60;1416298675;13969944;250554480;94.72;315856;39358020;215442300;78.94
axle;60;1416298735;15805636;248718788;94.02;315868;39363256;213590268;78.26
axle;60;1416298795;20021876;244502548;92.43;315892;39365120;209361716;76.71
axle;60;1416298855;20022556;244501868;92.43;315912;39366444;209361716;76.71
