# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416298956;15805220;248719204;94.03;316428;45042832;207951244;76.20
axle;60;1416299016;13784308;250740116;94.79;316492;47327000;207629076;76.08
axle;60;1416299076;8865372;255659052;96.65;316592;50697028;209178168;76.65
axle;60;1416299136;9030716;255493708;96.59;316692;50868172;208841284;76.52
axle;60;1416299196;10137392;254387032;96.17;316756;50870704;207737304;76.12
axle;60;1416299256;9972624;254551800;96.23;316836;51197292;207597148;76.07
axle;60;1416299316;9209328;255315096;96.52;316948;51958972;207577164;76.06
axle;60;1416299376;9139284;255385140;96.55;317004;52095712;207506128;76.03
axle;60;1416299436;7221360;257303064;97.27;317092;53916572;207629140;76.08
axle;60;1416299496;6103020;258421404;97.69;317136;54839524;207817196;76.15
axle;60;1416299556;5995816;258528608;97.73;317180;55242296;207506248;76.03
