Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

09:21:36 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:22:36 AM     all      6.27      0.00      6.22      0.11      0.00     87.40
09:23:36 AM     all      7.00      0.00      6.12      0.00      0.00     86.89
09:24:36 AM     all      6.39      0.00      7.10      0.01      0.00     86.50
09:25:36 AM     all      7.15      0.00      6.16      0.01      0.00     86.68
09:26:36 AM     all      5.47      0.00      1.21      0.00      0.00     93.32
09:27:36 AM     all      5.61      0.00      0.73      0.00      0.00     93.66
09:28:36 AM     all      4.60      0.00      1.75      0.00      0.00     93.64
09:29:36 AM     all      5.77      0.00      0.54      0.00      0.00     93.69
09:30:36 AM     all      4.75      0.00      1.59      0.00      0.00     93.65
09:31:36 AM     all      5.13      0.00      1.20      0.00      0.00     93.67
09:32:36 AM     all      4.66      0.00      1.71      0.00      0.00     93.63
